폰모델 제목,가격,등록시간,내용
(미사용 정품)아이폰13 512G 스타라이트 박스폰,1250000,2022-07-08,"박스만 개봉한 미사용 새상품입니다.
배터리 100%
애플코리아 정품/풀박스고
스타라이트 색상입니다.

제조일자 2021년 12월

자급제폰 공기계로 별도 통신사 가입없이 현재 사용하고 계신 유심칩만 끼우면 바로 사용가능합니다.

(아이폰, 아이패드, 워치, 맥북  등
애플제품 전부 구입 가능합니다. 문의주세요) 

직거래 선호하며
만나서 상태보시고 마음에 안드시면
안 사셔도 됩니다.
상태 자신있습니다. 

파주, 일산 인근 지역이라면
직거래 가능하며 선호합니다.      "
아이폰13프로맥스 정품가죽케이스/카드지갑,75000,2022-07-08,"🔻🔻🔻🔻🔻🔻🔻🔻🔻🔻🔻🔻🔻
아이폰 13 Pro Max 정품
가죽케이스와 카드지갑입니다
명품 에르메스와 합작하여 가죽 재질이 좋습니다
사진에 하자들 자세하게 찍어서 올려놨습니다
정품 박스도 드립니다
궁금하신거 있으시면 채팅주세요 ~
개별판매 케이스 3.5 지갑 4.5
한달 정도 쓴 것 같습니다
🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺🔺

직거래 문경시 점촌동
택배거래 우체국 선호"
아이폰se2 128,230000,2022-07-08,"공기계 이고 통신사 다 사용 가능
기스 없고 밧데리 82-83프로 됩니다
박스 내용물에 핸폰 및 설명서만 있습니다 
액정 보호 3d 풀커버 1개, 투명케이스 새거 포함
외 조금 사용한 정품 가죽케이스 및 사용한 투명케이스 2개
충전 케이블 아이폰 충전기까지 드립니다
사진 참조 직거래는 dmc 역 근처 가능"
애플충전기,10000,2022-07-08,"강남 고속터미널역 직거래 가능
택배비 별도"
"삼)아이폰 파손/폐폰 삽니다 6s,7+,8,X,11",777777,2022-07-08,"아이폰 액정 파손, 버튼 불량, 통화음불량, 기능불량, 안켜지는 폰 모두 삽니다.
다른 매매하는곳보다 확실히 많이 드립니다 문의주세요
⭐️찜 팔로우 후기 남겨주시면 택배비 3000원 지원해 드립니다
직거래는 성남이구요 01038792001 연락주세요
아이폰7이상 계정락 또는 부품폰은 문의주세요"
아이폰11 256기가,540000,2022-07-08,"* 모델명 : 아이폰11

* 색상 : 퍼플

* 용량 :  256

* 구성품 : 젤리케이스,강화유리, 충전기

* 외관상태 

* 액정 : 깨끗합니다(사진참조)
* 테두리 ( 양옆) : 깨끗합니다(사진참조)
* 테두리 (위,아래) : 아래 기스2곳.(사진참조)
* 뒷판 :  깨끗합니다(사진참조)

(중고폰특성상 미세한 생활기스는 있을수 있습니다~이점 참고하시고 구매부탁드려요)

*배터리 효율상태 : 87%

* 3사통신사 호환가능 (유심침만 꽂아서 사용하시면 됩니다)

*25프로 선태약정 가능.

*기능이상 (검수완료)= 기능이상시 24시간이내 교환/환불가능

* 직거래가능. 5호선 미사역 가능.

*배송 : 오후3시전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 문자상담가능합니다~궁금하신점 있으시면 문자주세요^^"
SS급 배터리86 아이폰 12미니 64G 화이트,490000,2022-07-08,"반갑습니당~~~
소독과 검수 작업을 완료하고 잘 안 찍히는 결점 하나 하나까지 세밀하게 검토하여 판매하도록 꾸준히 노력하고 있답니당 
<후기> 한번만 봐주시면 감사드릴께용
톡~~대환영!!!
자는 시간 빼고는 언제 어디서나 답변해드려욧.... 

> 모델명 : 아이폰 12미니
> 색상 : 화이트
> 저장공간 : 64 G
> 수리 및 보증기간 : 2022 년도 12 월 02 일까지
(소비자보호법에 의거하여 1년 추가 연장으로
활성화된 후 ""2년"" 무상수리)
> 배터리 효율 : 86 %
> 등급 : SS 등급 ( 미사용 풀박 )
  - 측면
하단 좌측에 미세한 기스
  - 뒷면 / 액정
완전 깨끗

> 기능상 특이사항
없어요 ( 기능 테스트 완료 )

KT SKT LG 선불 알뜰... 모든 유심이 가능합니당
쓰시고 계신 유심을 그대로 꼽아서 바로 사용해주세요
25% 선택약정 적용도 그대로 이어서 사용가능해염 

거래는 오후에 ⑨호선 선유도역 8번출구 (영등포구 양평동) 에서 가능합니당....
택배는 오후4시마감!
직접 우체국으로 방문하여 발송해 드립니당 
택배 선불요청 5,000원 추가 입금하시면 됩니당

> ₩10,000 원 추가 입금시 별도판매 
일반충전기 + 액정필름 + 투명젤리케이스 + 그립톡 + 알콜솜 

1582"
아이폰6플러스,75000,2022-07-08,"아이폰 6플러스 16g 모델이구요
사설에서 액정 교체 이력 있습니다
기기 성능은 이상없구요 외관은 찍힘 및 기스 있습니다
기기 단품이구 젤리케이스 새것 같이 드립니다"
아이폰13미니 128G 핑크,800000,2022-07-08,"아이폰13 미니 128G 핑크색상 팝니다~자급제X

통신사 상관없이 유심기변으로 이용가능 합니다~

미개봉 / 새제품이고 필름이랑 케이스도 드려요~

직거래고~구리 인창동입니다"
아이폰se2 256,300000,2022-07-08,"아이폰 SE 2 블랙색상 256 GB 입니다!
생활기스 하나 없어요 
투명 케이스랑 강화필름 같이 드릴게요~!
배터리 성능은 87% 입니당"
(미사용) 아이폰 11프로 256GB 스페이스그레이,750000,2022-07-08,"아이폰 11 프로 256GB 스페이스 그레이
구성품은 따로 없고 사진상으로 보이는 박스 째로 드려요

한번도 사용한적 없는 제품이기 때문에 배터리 성능도 당연히 100일거구요

저는 13 미니 사용하고 있기에 필요없어서 판매합니다"
아이폰13 128 핑크 애케플,950000,2022-07-08,"아이폰13 128기가 애케플입니다. 
24년 3월 까지 입니다.

배터리는 한번 교체를 해서 100프로 이고
 애케플 한번도 안썻습니다 . 

막쓰고 리퍼할라고 생폰으로 좀 써서 사진처럼 하자 있습니다. 
☆1년막 쌩폰으로 쓰고 리퍼 받으실분 구매 추천☆

애케플도 12만원내고 리퍼하는게 있고 8만원내고 리퍼하는게 있는데 제 애케플은 8만원만 내면됩니다.
애플 수리 기사님이 사이드 찍힘정도는 리퍼에 문제 없다고 했습니다!

애플정품 케이스 추가구성이구요 카메라 보호 필름 붙어있고, 액정필름 안붙어있는데 여분까지 다드립니다. 
궁금한거 연락주십셔"
아이폰 8,150000,2022-07-08,"아이폰 8 64GB
배터리 성능 82%"
아이패드프로5세대 11형(3세대) 128g wifi,750000,2022-07-08,"전체적으로 깔끔하며
기능상하자 일절없음
배터리효율 : 100%
제조연월 2021/12

기기단품으로 구매시 북커버케이스,블루투스키보드 챙겨드립니다

※ 안전결제/직거래/택배거래 전부 가능합니다
※ 리뷰작성 약속 해주시면 택배비용 판매자 전액부담
※ 직거래는 창원 반지동에서 언제든 가능합니다
※네고문의는 대부분 차단하니 자제 부탁드려요"
에어팟3세대,130000,2022-07-08,두달 사용했습니다.
아이폰se2 블랙 128G 배터리85% 판매중,220000,2022-07-08,"★중고폰을 전문적으로 판매하는 매장으로 제품을 대량으로 매입하고 있어 조금 더 저렴한 가격에 판매하고 있구요★

★만약에 분실이나 도난됐다! 날짜 상관없이 언제든지 100% 교환또는 환불해드리깐 걱정 하지마시고 사용하시면 되세요★

★SK /KT / LG /알뜰 상관없이 사용중인 유심 넣고 전원만 한번 껏다가 켜면 바로 사용 가능하세요 ★


★색상  :  블랙

★용량  :  128G

★배터리  :  85%



★기능테스트 완료한 제품이에요★
액정에 아주 미세한 잔기스가 살짝 있어요 
뒷판에 잔기스가 다소 있구요 
테두리에 사용감이랑 기스가 있습니다 



        ★요금할일25%가능★
정상해지//알뜰폰//3사통신사 모두 호환가능 


        ★추가구성품★
강화유리필름//투명젤리케이스//유심핀
고개님의 따뜻한 후기가 저에겐 큰 힘이되어요~~

        ★판매자의 다른상품★
클릭하시면 더 많은 상품을 보실 수 있습니다

         ★A/S기간★
구매한날로 부터후 본인 과실이아닌
기능이상이 있을시에만 7일이내에 교환 또는 환불 100% 가능합니다

         ★로젠택배무료배송★
평일 6시 30분이전 구매건 //
토요일 3시 이전 구매건//은 당일발송 가능합니다

         ★대구 퀵거래가능★
퀵거래가능 한데 고객님 부담이세요


        ★대구 매장방문 가능하신 고객님★
더 많은 제품을 직접 보시고 구매 하실수 있습니다

★대구 서구 서대구로 299. 20호 1층★
           상호 T SMART
(북부정류장앞 세븐일레븐 편의점 맞은편)
         ★궁금하실때는 언제든지★
       olo-8오8l-3l3q"
아이폰13프로맥스/풀박스/무료사은품,1460000,2022-07-08,"기종- 아이폰13프로맥스
상태 - 개봉 풀박스
색상- 시에라블루
용량- 128GB

21년 09월

♥♥♥♥특별 사은품♥♥♥♥

 투명케이스, 액정보호필름, 충전기 함께 드립니다 :)

*선택 약정 25% 문의 해주시면 IMEI로 확인해 드리겠습니다.*

통신사가 정상 해지되어,
기존에 사용하시던 유심을 끼워
3사 통신사을 선택하셔서 바로 사용가능한 폰입니다.

금일 오후 4시 이전에 안전페이로 결제까지 
마무리 되면 당일 발송 해드립니다
*공휴일, 주말 제외*

무료배송 가능합니다 (로젠택배)
배송비는 저희가 부담하고 있으니 걱정 안하셔도 됩니다
-------->>>파손 걱정 없이 꼼꼼한 택배 포장으로 보내드리고 있습니다.







6096"
"(삽니다)아이폰13프로,13프로맥스 삽니다",1440000,2022-07-08,"0 1 0 - 4 2 7 7 - 2 0 5 8

직거래,택배거래 입고시 바로 결제 합니다

7월 6일 기준

iPhone13ProMax(미개봉)
-256GB-144만원
색상:알파그린,골드,시에라블루
-128GB- 132만원
색상:알파그린,골드,시에라블루
대량/소량 구매합니다

iPhone13Pro(미개봉)
-256GB-125만원
색상:시에라블루,골드,그래파이트,실버,알파인그린
-128GB- 115만원
색상:시에라블루,골드,그래파이트,실버,알파인그린
대량/소량 구매합니다

개봉 비활성 -1만원
(최초보호필름 필수)

홍대입구역1번 출구 
C.M빌딩 

0 1 0 - 4 2 7 7 - 2 0 5 8
직거래,택배거래 Ok

"
아이폰13프로맥스/풀박스/무료사은품,1460000,2022-07-08,"기종- 아이폰13프로맥스
상태 - 개봉 풀박스
색상- 시에라블루
용량- 128GB

21년 09월

♥♥♥♥특별 사은품♥♥♥♥

 투명케이스, 액정보호필름, 충전기 함께 드립니다 :)

*선택 약정 25% 문의 해주시면 IMEI로 확인해 드리겠습니다.*

통신사가 정상 해지되어,
기존에 사용하시던 유심을 끼워
3사 통신사을 선택하셔서 바로 사용가능한 폰입니다.

금일 오후 4시 이전에 안전페이로 결제까지 
마무리 되면 당일 발송 해드립니다
*공휴일, 주말 제외*

무료배송 가능합니다 (로젠택배)
배송비는 저희가 부담하고 있으니 걱정 안하셔도 됩니다
-------->>>파손 걱정 없이 꼼꼼한 택배 포장으로 보내드리고 있습니다.







6097"
c급아이폰x 256GB 블랙 20.9만[07871],209000,2022-07-08,"WING 안녕하세요 MOBILE입니다! 
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요! 
한국어 상담/中文谘询/ENG OK!! 

••••••••••••상품 상세 정보•••••••••••• 
상품번호: 07871
상품명: 아이폰x
용량: 256GB 
색상:블랙
상품등급:C급 
상태: 실사진과 동일합니다 참고부탁드립니다 
배터리효율: 사진참고 
특이사항: LCD멍,줄   
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능) 
25% 선택약정 요금할인 가능 
••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
A급아이폰12미니64GB블랙44.9만[03608,449000,2022-07-08,"WING 안녕하세요 MOBILE입니다! 
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요! 
한국어 상담/中文谘询/ENG OK!! 

••••••••••••상품 상세 정보•••••••••••• 
상품번호: 03608
상품명: 아이폰12미니
용량: 64GB 
색상:블랙
상품등급:A급 
상태: 실사진과 동일합니다 참고부탁드립니다 
배터리효율: 사진참고 
특이사항: 없음  
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능) 
25% 선택약정 요금할인 가능 


••••••••••••상품 등급 안내•••••••••••• 
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!! 
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!! 
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추전!! 
••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
A급아이폰SE2 64GB레드22.9만[24114,229000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 24114
상품명: 아이폰SE2
용량: 64GB
색상: 레드
상품등급: A급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 사진참고
특이사항: 없음 
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
B급아이폰SE2 128GB화이트20.9만[33148,209000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 33148
상품명: 아이폰SE2
용량: 128GB
색상: 화이트
상품등급: B급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 사진참고
특이사항: 트루톤X
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
A급아이폰8 64GB 로즈골드17만원 [86849],170000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 86849
상품명: 아이폰8
용량: 64GB
색상: 로즈골드
상품등급: A급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 94%
특이사항: 없음
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
B급아이폰8 256GB로즈골드19.9만[22656,199000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 22656
상품명: 아이폰8
용량: 256GB
색상: 로즈골드
상품등급: B급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 94%
특이사항: 액정이빨나감
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
B급 아이폰8 64GB 블랙 16만원 [90184],160000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 90184
상품명: 아이폰8
용량: 64GB
색상: 블랙
상품등급: B급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 사진참고
특이사항: 없음 
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
애플워치4 44mm 스페이스그레이+블랙스트랩,270000,2022-07-08,"애플워치4 44mm 스페이스그레이+블랙스트랩입니다
심박측정되는 모델입니다
생활기스 존재하며 사진참조부탁드립니다
밴드는 사용안해서 새거에요
박스풀셋이며 당산역쪽에서 가급적 확인후 판매원합니다"
갤럭시J510,50000,2022-07-08,"정상 해지.SK기기  16G  유심침 교환  등록후 사용가능   초기화 되었음 . 마이크로 유심, 제품에 아무 이상 없음  010-9825-0830
예비 밧데리.충전기. 액정 보호 필림 동봉. KT, LG U+,알뜰폰도 사용  가능"
애플워치 스트랩 브레이브 솔로 루프 Size 10 판매,70000,2022-07-08,"애플워치 브레이브 솔로 루프 Size 10 판매

애플 정품 44mm입니다."
A급아이폰6S 64GB 핑크10.9만[06429,109000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 06429
상품명: 아이폰6S
용량: 64GB
색상: 핑크
상품등급: A급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 96%
특이사항: 없음 
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
SS급아이폰13프로맥스256그레이139만[11605,1390000,2022-07-08,"안녕하세요 WING MOBILE입니다!
오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!
한국어 상담/中文谘询/ENG OK!!

••••••••••••구매 후기 이벤트 진행중••••••••••••
구매 후기 작성시 사은품 8종 무료 증정!
젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송
(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) 

••••••••••••상품 상세 정보••••••••••••
상품번호: 11605
상품명: 아이폰13프로맥스
용량: 256GB
색상: 그래파이트
상품등급: SS급
상태: 실사진과 동일합니다 참고부탁드립니다
배터리 효율: 100% 
특이사항: 없음 
구성품: 휴대폰 단품 
통신사: SKT•KT•LGU+•알뜰폰•선불폰 유심변경 사용가능!(사용하시던 유심 장착 후 바로 사용 가능)
25% 선택약정 요금할인 가능 

••••••••••••상품 등급 안내••••••••••••
SS급: 사용감이 거의 없는 새폰 같은 상품! 
S급: 전체적으로 아주 깨끗한 상품! 
A급: 사용감 조금 있지만 가장 많이 선호하는 등급!!
B급: 전체적으로 사용감 또는 잔상이 있는 상품 가성비짱!!
C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!

••••••••••••거래 방법••••••••••••
직거래:
서울 동대문입니다 문의주세요!
택배거래: 
무료배송입니다!
택배사: 로젠택배 
평일 오후 4시 이전 주문시 당일 발송 가능 
퀵거래: 
퀵거래 접수 가능, 퀵요금 고객 부담!"
갤럭시s20 외관깨끗 최저가판매 s20,260000,2022-07-08,"((( 문의전화)))
☎0.1.0 .6.6.6.4 .0.2.0.0 ☎

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소
<권과장 꼭 찾아주시면 서비스 꼭 드려요>

모델명:갤럭시s20

색상:그레이.화이트.핑크

저장공간: 128G

가격: 270.000원

거래방식:직거래(인천).택배(4시이전입금당일배송원칙).퀵(당일가능)

문의전화: 0 1 0 - 6 6 6 4 - 0 2 0 0

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소

기기상태: 기기검수100%완료된상품입니다.
기능정상 외관깨끗 잔상유 배터리상태굿!


(공지사항) 

*물품수령 후 30일이내 기능불량시 무상A/S 가능합니다.
(고객과실에 의한 부분은 처리 불가능합니다)

*물품수령 후 7일이내 기능불량시 교환및수리 환불 가능합니다.
(고객 과실에 의한 부분은 처리 불가능 합니다)

*중고물품 특성상 고객변심,소모품(배터리.외형사용감)으로 인한 
 교환 및 환불은 불가능 합니다."
S20울트라 상태굿굿굿 최저가판매 갤럭시s20울트라,330000,2022-07-08,"((( 문의전화)))
☎0.1.0 .6.6.6.4 .0.2.0.0 ☎

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소
<권과장 꼭 찾아주시면 서비스 꼭 드려요>

모델명:갤럭시s20울트라

색상:블랙.그레이

저장공간: 256G

가격: 330.000원

거래방식:직거래(인천).택배(4시이전입금당일배송원칙).퀵(당일가능)

문의전화: 0 1 0 - 6 6 6 4 - 0 2 0 0

매장주소: 인천시 부평구 장제로22번길 6 명진빌딩 2층 PMT중고폰거래소

기기상태: 기기검수100%완료된상품입니다.
전기종 기능정상 파손없음 잔상유 배터리상태양호 최저도매가에 판매합니다.

(공지사항) 

*물품수령 후 30일이내 기능불량시 무상A/S 가능합니다.
(고객과실에 의한 부분은 처리 불가능합니다)

*물품수령 후 7일이내 기능불량시 교환및수리 환불 가능합니다.
(고객 과실에 의한 부분은 처리 불가능 합니다)

*중고물품 특성상 고객변심,소모품(배터리.외형사용감)으로 인한 
 교환 및 환불은 불가능 합니다."
