폰모델 제목,가격,등록시간,내용
"A급 폴더폰, 공신폰, 효도폰, 유심만 끼우시면 되어요",55500,2022-07-08,"즐거운 하루 되세요~^^♡

삼성전자, 엘지전자 정품 A급 5만원짜리 쓸만한 폴더폰입니다.
잔상 1도 없는 기능검사 완료한 좋은 상품을 정말 싸게판매합니다.
외관은 사진보시는 것처럼 A급이며, 배터리성능도 최고 품질여서 받아보면 만족하실거예요.

 - 모델은 삼성, 엘지전자 정품 폴더폰으로 랜덤 발송되십니다.
 - 최초통신사는 랜덤으로 발송됩니다.
 - 정상해지폰으로, 모든 통신사 다 이용가능하십니다.
 - 배터리효율은 매우 좋으며며, 외관은 생활기스외 깨끗합니다.
 - 잔상은 없으며, 중고폰특성상 미세한 생활기스가 있을수 있으니 참고부탁드립니다.
 - 분실, 도난, 침수폰 아니며, 사용중인 유심 끼우시면 즉시 사용가능하세요.


저희 세상모든폰은 통신비절약을 위해 새것같은 S급 중고폰만을 판매합니다.  직접 보신후 구매하실분은 티맵, 네이버, 유튜브에서 ""세상모든폰""을 치세요~^^
모든 제품은 이상시에 구입후 14일이내 반품, 환불되오니 안심하시고 구매하세요~^^
매장위치는 티맵, 네이버. 유튜브에서 세상모든폰을 치시면 저희 매장 위치가(8호선 암사역 4번출구에서 50미터) 자세히 나와있어요~^^

정상해지폰으로 믿을수있는 전문검수회사에서 검수완료된 최고 성능폰입니다. 확정기변, 요금할인 25%, SKT, KT, LGU, 알뜰폰 모두 가입가능하고, 해외에서 사용가능해요.

이런 물건은 구하기 어렵습니다.

중고폰을 직접 보시고 구입하실분은 아래주소로 오셔서 직접 확인후 구입하세요^^ 구입후 기계이상시 14일이내 100% 반품, 환불됩니다. 안심하시고 구매하세요.

주소: 서울시 강동구 올림픽로 783 1층 세상모든폰(8호선 암사역 4번출구 50미터, 메가커피 옆)

전화1: 02-3013-1117
전화2: 010-2017-1117

감사드리고 건강하세요."
"A급 3만원짜리 중고폰, 스마트폰, 최저가 중고폰",37500,2022-07-08,"즐거운 하루 되세요~^^♡

삼성전자, 엘지전자 정품 A급 3만원짜리 중고폰입니다.
기능검사 완료한 통화, 문자용 중고폰입니다. 안드로이드버전 5.0이하여서 최신 어플, 앱. 유튜브 사용불가합니다. 인터넷은 됩니다.
외관은 사진보시는 것처럼 A급이며, 통화, 문자용으로 막 쓰기좋은 스마트폰입니다. 
받아보시면 100%  만족하시지는 않을거예요~

 - 모델은 안드로이드 5.0 이하로 삼성, 엘지, 하훼이 정품 중고폰으로 랜덤 발송되십니다.
 - 최초통신사도 랜덤으로 발송되시며, 막 쓰기 좋은폰입니다.
 - 정상해지폰으로, 모든 통신사 다 이용가능하십니다.
 - 배터리효율은 중간정도이며 외관도 생활기스, 찍힘등이 있습니다.
 - 잔상은 없으며, 중고폰특성상 미세한 생활기스가 있을수 있으니 참고부탁드립니다.
 - 분실, 도난, 침수폰 아니며, 사용중인 유심 끼우시면 즉시 사용가능하세요.


저희 세상모든폰은 통신비절약을 위해 새것같은 S급 중고폰만을 판매합니다.  직접 보신후 구매하실분은 티맵, 네이버, 유튜브에서 ""세상모든폰""을 치세요~^^
모든 제품은 이상시에 구입후 14일이내 반품, 환불되오니 안심하시고 구매하세요~^^
매장위치는 티맵, 네이버. 유튜브에서 세상모든폰을 치시면 저희 매장 위치가(8호선 암사역 4번출구에서 50미터) 자세히 나와있어요~^^

정상해지폰으로 믿을수있는 전문검수회사에서 검수완료된 최고 성능폰입니다. 확정기변, 요금할인 25%, SKT, KT, LGU, 알뜰폰 모두 가입가능하고, 해외에서 사용가능해요.

이런 물건은 구하기 어렵습니다.

중고폰을 직접 보시고 구입하실분은 아래주소로 오셔서 직접 확인후 구입하세요^^ 구입후 기계이상시 14일이내 100% 반품, 환불됩니다. 안심하시고 구매하세요.

주소: 서울시 강동구 올림픽로 783 1층 세상모든폰(8호선 암사역 4번출구 50미터, 메가커피 옆)

전화1: 02-3013-1117
전화2: 010-2017-1117

감사드리고 건강하세요."
"A급 폴더폰, 공신폰, 효도폰, 유심만 끼우시면 되어요",55500,2022-07-08,"즐거운 하루 되세요~^^♡

삼성전자, 엘지전자 정품 A급 5만원짜리 쓸만한 폴더폰입니다.
잔상 1도 없는 기능검사 완료한 좋은 상품을 정말 싸게판매합니다.
외관은 사진보시는 것처럼 A급이며, 배터리성능도 최고 품질여서 받아보면 만족하실거예요.

 - 모델은 삼성, 엘지전자 정품 폴더폰으로 랜덤 발송되십니다.
 - 최초통신사는 랜덤으로 발송됩니다.
 - 정상해지폰으로, 모든 통신사 다 이용가능하십니다.
 - 배터리효율은 매우 좋으며며, 외관은 생활기스외 깨끗합니다.
 - 잔상은 없으며, 중고폰특성상 미세한 생활기스가 있을수 있으니 참고부탁드립니다.
 - 분실, 도난, 침수폰 아니며, 사용중인 유심 끼우시면 즉시 사용가능하세요.


저희 세상모든폰은 통신비절약을 위해 새것같은 S급 중고폰만을 판매합니다.  직접 보신후 구매하실분은 티맵, 네이버, 유튜브에서 ""세상모든폰""을 치세요~^^
모든 제품은 이상시에 구입후 14일이내 반품, 환불되오니 안심하시고 구매하세요~^^
매장위치는 티맵, 네이버. 유튜브에서 세상모든폰을 치시면 저희 매장 위치가(8호선 암사역 4번출구에서 50미터) 자세히 나와있어요~^^

정상해지폰으로 믿을수있는 전문검수회사에서 검수완료된 최고 성능폰입니다. 확정기변, 요금할인 25%, SKT, KT, LGU, 알뜰폰 모두 가입가능하고, 해외에서 사용가능해요.

이런 물건은 구하기 어렵습니다.

중고폰을 직접 보시고 구입하실분은 아래주소로 오셔서 직접 확인후 구입하세요^^ 구입후 기계이상시 14일이내 100% 반품, 환불됩니다. 안심하시고 구매하세요.

주소: 서울시 강동구 올림픽로 783 1층 세상모든폰(8호선 암사역 4번출구 50미터, 메가커피 옆)

전화1: 02-3013-1117
전화2: 010-2017-1117

감사드리고 건강하세요."
갤럭시S10 LTE 128g A급 화이트 시흥s10,209000,2022-07-08,"• 갤럭시S10 LTE 128g 프리즘화이트 9935 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 작은찍힘 살짝씩 외 깔끔합니다 액정은 깨짐없고 깨끗합니다 뒷판은 깨짐없고 생활기스 살짝씩 외 깔끔합니다 흰화면 보시면 사진에는 안보이지만 미세잔상 있어서 저렴하게 판매합니다 다크모드시 불편함 없을정도라 가성비폰 강추합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2019년 3월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
갤럭시S10 LTE 512G AA급 화이트 수원s10,243000,2022-07-08,"• 갤럭시S10 LTE 512g 프리즘화이트 3269 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 큰찍힘없고 미세콕 살짝 외 깔끔합니다 액정은 깨짐없고 깨끗합니다 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 사진에는 안보이지만 초미세잔상 매우 살짝 있어서 저렴하게 판매합니다 거의 없다고 보셔도 괜찮을정도라 가성비폰 짱강추합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2020년 3월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
사멍 갤럭시 TapA,120000,2022-07-08,"S펜 내장되어 있는 SM-P550 모델입니다.

무선키보드 및 60G SD카드도 드립니다.

가격은 12만원으로 협의 가능합니다

용인. 시화. 안산 쯤에서 직거래가능 합니다."
미사용 스마트폰 자바라 거치대 택배비포함,13000,2022-07-08,미사용 스마트폰 자바라 거치대 자유로운높이 각도 조절언제어디서나 원하는장소원하는위치편리하게 사용 사이즈는 여덟번째 사진참고하세요👉주문은 은오후 4시 20분까지 주문시 당일발송됩니다 👉중고나라 안전거래만가능합니다 계좌거래안됩 니다 가격제안불가 택배비포함 
갤럭시 알파+여분 배터리 1개+배터리 전용충전기,22000,2022-07-08,"-제품명/모델명: 삼성 갤럭시 알파/ SM-G850S
-저장용량: 32GB
-기타 사양은 사진을 참조해 주세요. 

정상해지된 SKT 공기계입니다. 
여분 배터리 1개와 배터리 전용충전기도 같이 드립니다. 

모서리에 작은 흠집들이 있는 것을 제외하고는(사진 참조) 외관 상태 매우 양호합니다. 
지문스캐너 기능이 작동하지 않습니다. 이외의 기능들은 모두 정상적으로 작동합니다. 

반값택배 이용시 택배비 1600원에 발송 가능합니다.
잠실 지역에서 직거래 가능합니다."
갤럭시S20 128G 외관S급 화이트 안산s20,269000,2022-07-08,"• 갤럭시S20 128g 화이트 3054 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 아래테두리 미세콕 살짝씩 외 깨끗합니다 액정은 깨짐없고 깨끗합니다 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 사진애는 잘 안보이지만 미세잔상 있어서 저렴하게 판매합니다 불편함 없을정도라 가성비폰 강추합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 kt이고 최초개통일은 2020년 4월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
갤럭시S20플러스 256g 강력추천S급 수원s20+,339000,2022-07-08,"• 갤럭시S20플러스 256g 블루 0535 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 찍힘없고 깨끗합니다 액정은 깨짐없고 깨끗합니다 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 잔상없고 깨끗합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2020년 6월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
갤럭시S10 LTE 512G 무잔상S급 안산s10,250000,2022-07-08,"• 갤럭시S10 LTE 512G 프리즘화이트 1654 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 큰찍힘없고 미세콕 살짝 외 깔끔합니다 액정은 깨짐없고 생활기스 살짝 있지만 필름 깔끔하게 붙혀드리겠습니다^^ 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 잔상없고 깨끗합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2019년 12월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
갤럭시S10플러스 128g 외관S급 블랙 안산s10+,240000,2022-07-08,"• 갤럭시S10플러스 128g 블랙 8955 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 큰찍힘없고 깔끔합니다 액정은 깨짐없고 깔끔합니다 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 사진에는 잘안보이지만 하단바 잔상과 미세잔상있어서 저렴하게 판매합니다 블랙화면하고 쓰시면 불편함 없을정도라 가성비폰 강추합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2019년 3월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
갤럭시S10E 128G 가성비갑 자급제 안산s10e,160000,2022-07-08,"• 갤럭시S10E 128G LTE 프리즘화이트 2329 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 아래테두리 찍힘 있습니다 액정은 깨짐없고 빛에 비추면 보이는 생활기스 있으나 필름 깔끔하게 붙혀드리겠습니다^^ 뒷판은 깨짐없고 생활기스 살짝씩 외 깔끔합니다 흰화면 보시면 사진에는 잘안보이지만 미세잔상있어서 저렴하게 판매합니다 가성비폰 강추합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 자급제라 부팅시 삼성로고만 뜨고 최초개통일은 2019년 5월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
갤럭시S20울트라 256g 가성비갑 안산s20울트라,279000,2022-07-08,"• 갤럭시S20울트라 256g 코스믹그레이 9380 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 찍힘있고 사용감 있습니다 액정은 깨짐없고 깔끔합니다 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 사진에는 미세약잔상있고 왼아래 모서리에 흑점 있어서 저렴하게 판매합니다^^ 가성비폰 강추합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2020년 2월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
ol0 5o 34 24l 3"
Z플립3 256기가 퍼플 A급,590000,2022-07-08,"* 모델명 : Z플립3
* 최초통신사 : SKT
* 상태 : A급 / 퍼플 / 256기가

* 선택약정 : 가능

* 구성품 : 없음

* 외관상태 : 뒷판 생활기스외 전체 깨끗합니다 마지막2번째 사진 부분 모서리미세 깨짐 있습니다

* 네고, 교신, 교신+@, 불가능합니다

(중고폰특성상 미세한 생활기스는 있을수 있습니다 이점 참고하시고 구매부탁드려요)

* 기능 검수완료 = 기능이상시 24시간이내 교환/환불가능

* 직거래, 안전거래, 페이결제 가능. 
* 직거래 장소 5호선 미사역 가능
* 배송 : (무료) 우체국택배 오후 5시 이전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 궁금하신점 있으시면 톡 주세요^^ "
S21울트라 256기가 실버,690000,2022-07-08,"* 모델명 : S21울트라
* 최초통신사 : U+
* 상태 : S급 / 실버 / 256기가

* 선택약정 : 가능

* 구성품 : 없음

* 외관상태 : 테두리 초기필름 부착중 전체 깨끗합니다

* 액정 : 잔기스없이 깨끗합니다 (사진참조)
* 테두리 ( 양옆) : 깨끗합니다 (사진참조)
* 테두리 (위,아래) : 깨끗합니다 (사진참조)
* 뒷판 :깨끗합니다 (사진참조)
* 디스플레이 상태 : 이상없음

* 네고, 교신, 교신+@, 불가능합니다

(중고폰특성상 미세한 생활기스는 있을수 있습니다 이점 참고하시고 구매부탁드려요)

* 기능 검수완료 = 기능이상시 24시간이내 교환/환불가능

* 직거래, 안전거래, 페이결제 가능. 
* 직거래 장소 5호선 미사역 가능
* 배송 : (무료) 우체국택배 오후 5시 이전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 궁금하신점 있으시면 톡 주세요^^ "
노트20 256기가 브론즈,410000,2022-07-08,"* 모델명 : 노트20
* 최초통신사 : SKT
* 상태 : A급 / 브론즈 / 256기가

* 선택약정 : 불가능

* 구성품 : 없음

* 외관상태 : 충전단자쪽 기스외 전체적으로 깨끗합니다 잔상없습니다

* 네고, 교신, 교신+@, 불가능합니다

(중고폰특성상 미세한 생활기스는 있을수 있습니다 이점 참고하시고 구매부탁드려요)

* 기능 검수완료 = 기능이상시 24시간이내 교환/환불가능

* 직거래, 안전거래, 페이결제 가능. 
* 직거래 장소 5호선 미사역 가능
* 배송 : (무료) 우체국택배 오후 5시 이전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 궁금하신점 있으시면 톡 주세요^^ "
Z폴드1 512기가 실버,650000,2022-07-08,"* 모델명 : Z폴드1
* 최초통신사 : U+
* 상태 : A급 / 실버 / 512기가

* 선택약정 : 불가능

* 구성품 : 없음

* 외관상태 : 외부,내부액정 잔상 기스 없이 깨끗합니다
테두리 사용감 있습니다 사진참조

* 네고, 교신, 교신+@, 불가능합니다

(중고폰특성상 미세한 생활기스는 있을수 있습니다 이점 참고하시고 구매부탁드려요)

* 기능 검수완료 = 기능이상시 24시간이내 교환/환불가능

* 직거래, 안전거래, 페이결제 가능. 
* 직거래 장소 5호선 미사역 가능
* 배송 : (무료) 우체국택배 오후 5시 이전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 궁금하신점 있으시면 톡 주세요^^ "
Z플립3 256기가 퍼플 자급제,550000,2022-07-08,"* 모델명 : Z플립3
* 최초통신사 : 자급제
* 상태 : B급 / 퍼플 / 256기가

* 선택약정 : 가능

* 구성품 : 없음

* 외관상태 : 액정,배터리 교체후 미사용제품입니다 외부 뒷판 글라스 기스 많습니다 사진참조해주세요

* 네고, 교신, 교신+@, 불가능합니다

(중고폰특성상 미세한 생활기스는 있을수 있습니다 이점 참고하시고 구매부탁드려요)

* 기능 검수완료 = 기능이상시 24시간이내 교환/환불가능

* 직거래, 안전거래, 페이결제 가능. 
* 직거래 장소 5호선 미사역 가능
* 배송 : (무료) 우체국택배 오후 5시 이전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 궁금하신점 있으시면 톡 주세요^^ "
Z플립3 256기가 퍼플 자급제,550000,2022-07-08,"* 모델명 : Z플립3
* 최초통신사 : 자급제
* 상태 : B급 / 퍼플 / 256기가

* 선택약정 : 가능

* 구성품 : 없음

* 외관상태 : 액정,배터리 교체후 미사용제품입니다 외부 뒷판 글라스 기스 많습니다 사진참조해주세요

* 네고, 교신, 교신+@, 불가능합니다

(중고폰특성상 미세한 생활기스는 있을수 있습니다 이점 참고하시고 구매부탁드려요)

* 기능 검수완료 = 기능이상시 24시간이내 교환/환불가능

* 직거래, 안전거래, 페이결제 가능. 
* 직거래 장소 5호선 미사역 가능
* 배송 : (무료) 우체국택배 오후 5시 이전 주문건 당일발송(에어캡 안전포장)

* 분실/ 도난/ 침수폰은 판매 하지 않습니다.

* 궁금하신점 있으시면 톡 주세요^^ "
SM-A528K바이올렛 128G 방수 미개봉,490000,2022-07-08,SM-A528K바이올렛 128G 방수 미개봉
SM-G986K 256G 블루 A급,459000,2022-07-08,SM-G986K 256G 블루 A급
SM-F707 갤럭시Z플립 브론즈 미개봉,779000,2022-07-08,SM-F707 갤럭시Z플립 5G 브론즈 256G 미개봉
SM-A217S 화이트 A급 정상해지,139000,2022-07-08,SM-A217S 화이트 A급 정상해지
SM-A605K 갤럭시진 32G A급,69000,2022-07-08,SM-A605K 갤럭시진 32G A급
Z플립 1 256 블랙 택포 28만원 (가격내림),280000,2022-07-08,"삼성 z플립1 정상해지 폰이구요
선택약정 가입하셔서 사용 가능합니다!

최근에 액정과 힌지부분 교환해왔구요

후면에 생활 잔기스 조금있습니다!!

사진에서 보이듯 프레임에 있는 스티커도 제거안하고 사용햇던 핸드폰이라 뒷면 생활기스 빼고는 상태 아주 좋습니다!!
어느정도 네고 가능합니다 문의주세요!!"
노트10 아우라글로우 무잔상 무기스s급 택포 27만원!,270000,2022-07-08,"노트10 5g 256기가 정상해지 폰이구요
상태 잔상 기스없는 상태 좋은 폰입니다

어느정도 네고 가능하니 문의주세요!

직거래는 대전에서합니다"
갤럭시A12 32기가 ssss급!!22년7월개통!! 0,120000,2022-07-08,"갤럭시A12 32기가 ssss급!!22년7월개통!! 0704-9■중고폰 다량보유!! 찾으시는 제품있으시면 편하게 문의주세요^^■

■제품정보■
​
모든제품 기능검사 철저하게 진행하고있습니다.
​
최저가로 최상의 제품을 모시겠습니다.
​

*기기명: 갤럭시A12 A125 32기가 (공신폰X)

*제품번호:  0704-9

*색상:블랙

*최초통신사: KT
*3사호환가능  (LG/ KT/ SK/알뜰폰,선불폰 가능)

*최초개통일: 22년7월1일(무상as남음)


■제품상태■

*액정 깨끗하며 기스,찍힘 없이 전체적으로 깨끗합니다.

*잔상 없습니다.

​*구성품: 휴대폰단품, 액정필름,투명케이스, 무료배송
                   *재고없을시 단품발송.
​
■제품설명■

*유심 꽂으면 바로 사용가능
​
*유심기변,기존 가입된 25프로 선택약정 가능

*구입후 7일이내 기능 이상시 교환,환불가능합니다(단순변심,고객과실 제외)

■거래방식■
​
*택배 또는 직거래(경기도 광주 매장방문->율동공원 5분거리)
​
*택배이용시 택배비 무료
​
* 오후 4시까지 결제시 당일발송!!

■업체 정보및 연락처■

*주소지:경기도 광주시 오포읍 능평로 47  호박마켓

* 0.1.0.4.9.7.9.4.4 8.8으로 연락 주세요^^"
갤럭시A90 128기가 SSSSS급!!무기스!! 070,170000,2022-07-08,"■중고폰 다량보유!! 찾으시는 제품있으시면 편하게 문의주세요^^■

■제품정보■
​
모든제품 기능검사 철저하게 진행하고있습니다.
​
최저가로 최상의 제품을 모시겠습니다.
​

*기기명: 갤럭시A90 (A908) 128기가

*제품번호: 0704-22

*색상:블랙

*최초통신사: LG
*3사호환가능  (LG/ KT/ SK/알뜰폰,선불폰 가능)

*최초개통일:20년1월10일


■제품상태■

*액정 매우 깨끗하며 기스,찍힘 없이 전체적으로 깨끗합니다.

*잔상 없습니다.

​*구성품: 휴대폰단품, 액정필름, 투명젤리케이스, 무료배송
                   *재고없을시 단품발송.
​
■제품설명■

*유심 꽂으면 바로 사용가능
​
*25프로 선택약정 가능

*구입후 7일이내 기능 이상시 교환,환불가능합니다(단순변심,고객과실 제외)

■거래방식■
​
*택배 또는 직거래(경기도 광주 매장방문->율동공원 5분거리)
​
*택배이용시 택배비 무료
​
* 오후 4시까지 결제시 당일발송!!

■업체 정보및 연락처■

*주소지:경기도 광주시 오포읍 능평로 47  호박마켓

* 0.1.0.4.9.7.9.4.4 8.8으로 연락 주세요^^"
